,y,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,0,1.2284522,0.617153,0.4456397,0.0021116734,0.702478,0.9136691,0.23436649,0.49253857,0.7536248,1.2491845,0.83625257,0.49268064,-0.16638051,1.0477779,0.384956,1.1387172,0.26357952,0.11916286,-0.09128298,-0.22108008,0.012731314,0.67361397,1.0940199,1.4819281,1.0060828
1,0,0.36389762,0.31215665,0.39962965,0.5843525,0.5845221,1.0250796,1.185075,0.0068180263,0.07290918,1.0308166,0.22569,0.6785519,0.09720427,-0.11728904,0.79017633,0.20526567,0.4924108,-0.15080304,0.62803036,-0.12598062,0.74788797,0.987008,1.3294709,1.1595981,1.3686575
2,0,0.49509597,0.7121858,0.20128722,0.86692923,0.28397202,0.88300925,0.14318202,0.21528003,0.5568495,0.04121828,0.83681726,0.5098685,0.08074342,0.9585048,0.7699295,0.8704399,0.9637525,0.13447228,0.89784,0.66747254,0.11645786,-0.0047591794,0.28157914,0.28562936,0.2445044
3,1,-0.11099898,0.3478778,0.057024084,0.8278839,0.13285054,0.6367582,0.3606245,0.9311916,0.10854098,0.14806202,0.52003884,0.114014074,0.055852443,0.008895144,0.2582715,-0.086996675,0.4917493,0.63916695,0.060077243,0.88669884,-0.41286397,0.18343051,0.5541427,0.37373236,0.04690659
4,2,0.37367648,1.1521727,0.14739332,0.51973295,0.84738064,1.0170873,0.4240327,0.5236429,0.18418542,0.9830788,0.67627454,0.83816123,0.66473716,0.33828557,0.71198905,1.3127812,0.14053068,0.045078114,0.5948584,0.51926833,0.41301778,0.323342,0.41696882,1.2424883,0.7870379
5,1,1.0762258,0.6191988,-0.037662968,0.5279155,0.24525112,1.0370299,1.3706998,0.339133,0.5853365,1.0699663,0.44241583,-0.19676836,0.6750243,0.50867945,1.1783445,1.3620789,-0.32533345,0.1642775,0.10945657,0.4332626,-0.24363518,1.3395452,1.2837404,1.4630823,0.30899674
6,0,0.26631862,1.19336,0.33120486,0.08545107,0.48776388,0.9257916,1.0301846,-0.03543146,-0.08799863,1.219201,0.8575424,0.81220925,0.9087272,1.0118426,0.22865613,0.83395183,-0.3318498,-0.11079894,0.40370613,-0.2195198,-0.08441812,0.78540814,0.48079053,0.8252996,1.3743395
7,1,0.34654915,0.3797639,0.6932952,-0.05263254,0.45106214,0.89189833,0.4865425,0.3350224,0.5660012,1.0455709,0.84704167,0.75025797,-0.08411524,0.81272066,0.6469368,0.6310694,0.24046692,-0.31680778,0.22570366,0.004190892,-0.21767697,0.974466,0.36189458,0.5921118,1.2029188
8,2,0.9139156,0.8817423,-0.040761888,0.2458486,0.078442484,0.88944834,0.95340407,-0.06626624,0.7771919,1.1453753,0.55034727,0.047272563,0.8260518,0.5238605,0.75420976,0.49463493,0.7381773,-0.36986467,0.2259501,0.9318063,0.41830721,1.0139349,0.6048155,1.331466,0.675532
9,0,-2.7024195,-2.1617541,3.5144048,3.2410877,2.6510797,-1.9941251,1.2878563,3.241482,2.0766747,-1.5808668,2.1251836,0.25601703,2.7752335,2.5364044,0.81281734,0.1906445,2.384195,2.1644392,2.6747735,3.3911176,2.5365968,-1.1003587,-1.8460164,-1.4642392,-1.9835551
10,2,0.35701144,0.47454703,0.14733273,0.9068856,0.32588154,0.51873165,0.3189439,0.39356768,0.7110552,-0.08150453,0.81360734,0.14250606,0.32691085,0.24552561,0.6795441,0.5712557,0.46760595,0.8864983,0.68054354,0.6987257,0.57259417,0.4741245,0.10724779,0.1158976,0.60090816
11,0,0.4761613,0.85949194,-0.22301409,0.45464554,0.13469736,0.66263473,1.3233198,0.7045773,0.024725348,0.9102477,-0.18407097,0.3568709,0.411012,1.0263636,1.4185102,1.0908159,0.91979957,-0.06276247,0.70928055,0.6007388,0.3680508,0.19321,0.5564529,0.64208543,0.5234895
12,0,0.8107953,0.73293924,0.5807403,-0.011456668,0.66286474,0.4085681,0.9813367,-0.15141188,0.7407816,0.3998474,0.35582346,0.15745059,0.06578326,0.3914501,1.1054478,0.95716804,0.8782157,0.26667285,0.10539204,-0.03966506,0.24542281,0.50011027,1.254147,1.3219441,0.8606806
13,0,-0.10222905,0.12433934,0.47345665,0.1375182,0.37039304,0.3866059,1.1099746,1.259893,0.43355423,0.16179931,0.8633207,-0.27727413,0.26183623,0.3558929,0.60442793,0.2345097,0.5029652,-0.14742601,0.09307946,0.8742239,-0.39471087,0.21715626,0.7483841,0.26671028,0.56056404
14,2,0.2652026,0.8312119,0.023965508,0.5442807,0.10934229,1.4615903,0.74197865,0.04179746,0.35159954,0.7469181,-0.043343157,0.74596155,0.47293547,0.20079182,1.0194869,0.01331453,0.043491513,0.6140481,0.47393376,0.14375322,0.40018415,1.082315,0.4983663,0.49991572,0.6042659
